15-Minute Parking, 8am-5:30pm|[{hour_s: 8, hour_e: 17.5}]
1P 8:00am - 5:30pm Mon-Fri|[{day_s:1, day_e: 5,hour_s: 8, hour_e: 17.5}]
1P 8:00am-6:00pm Mon-Fri 8:00am-12:00pm Sat|[{day_s:1, day_e: 5, hour_s: 8, hour_e: 18},{day_s:6, day_e:6,hour_s:8, hour_e:12}]
1P 8:00am-6:00pm Mon-Fri; 8:00am-12:00pm Sat|[{day_s:1, day_e: 5, hour_s: 8, hour_e: 18},{day_s:6, day_e:6,hour_s:8, hour_e:12}]
1P 8:30-5:30 Mon-Fri|[{day_s:1, day_e: 5,hour_s: 8.5, hour_e: 17.5}]
1P 8am - 6pm Mon-Sat|[{day_s:1, day_e: 5,hour_s: 8, hour_e: 18}]
1P 8am-5:30pm Mon-Fri|[{day_s:1, day_e: 5,hour_s: 8, hour_e: 17.5}]
1P 8am-5:30pm Mon-Fri, 8-11:30am Sat|[{day_s:1, day_e: 5, hour_s: 8, hour_e: 17.5},{day_s:6, day_e:6,hour_s:8, hour_e:11.5}]
1P 8am-5pm Mon-Fri|[{day_s:1, day_e: 5,hour_s: 8, hour_e: 17}]
1P 8am-6pm Mon-Fri|[{day_s:1, day_e: 5,hour_s: 8, hour_e: 18}]
1P 8am-6pm Mon-Sat|[{day_s:1, day_e: 6,hour_s: 8, hour_e: 18}]
1P 9:00am-5.30pm Mon-Fri 9:00am-4:00pm Sat|[{day_s:1, day_e: 5, hour_s: 9, hour_e: 17.5},{day_s:6, day_e:6,hour_s:9, hour_e:16}]
1P 9:00am-5:30pm Mon-Fri|[{day_s:1, day_e: 5,hour_s: 9, hour_e: 17.5}]
1P 9:00am-6:00pm Mon-Fri|[{day_s:1, day_e: 5,hour_s: 9, hour_e: 18}]
1P 9am - 5:30pm|[{hour_s: 9, hour_e: 17.5}]
1P 9am - 5pm Mon-Fri|[{day_s:1, day_e: 5,hour_s: 9, hour_e: 17}]
1P 9:00am-5:30pm Mon-Fri 9:00am-11:30am Sat|[{day_s:1, day_e: 5, hour_s: 9, hour_e: 17.5},{day_s:6, day_e:6,hour_s:9, hour_e:11.5}]
1P 9:00am-5:30pm Mon-Fri 9:00am-4:00pm Sat|[{day_s:1, day_e: 5, hour_s: 9, hour_e: 17.5},{day_s:6, day_e:6,hour_s:9, hour_e:16}]
1P 9:00am-5:30pm Mon-Fri 9:00am-4:00pm Sat; Taxi Zone 10:00pm-6:00am|[{hour_s:0, hour_e:6}, {hour_s:22, hour_e:24},{day_s:1, day_e: 5, hour_s: 9, hour_e: 17.5},{day_s:6, day_e:6,hour_s:9, hour_e:16}]
1P 9am-4pm Mon-Fri|[{day_s:1, day_e: 5,hour_s: 9, hour_e: 16}]
1P 9am-5pm Mon-Fri|[{day_s:1, day_e: 5,hour_s: 9, hour_e: 17}]
