objectid,comments,class,parktime_mins,surveydate,signinfo,meternumber,baynumber,drawingnumber,mode,st_areashape,st_lengthshape
2099,,Metered,180,2010-05-04T00:00:00.000Z,3P 9am-5pm Mon-Fri Meter 3P 9am-5pm Sat-Sun Public Holidays,,,254,Active,12.861883001591,0
2100,,Metered,180,2010-05-04T00:00:00.000Z,3P 9am-5pm Mon-Fri Meter 3P 9am-5pm Sat-Sun Public Holidays,,,254,Active,12.9207180007811,0
2101,,Metered,180,2010-05-04T00:00:00.000Z,3P 9am-5pm Mon-Fri Meter 3P 9am-5pm Sat-Sun Public Holidays,,,254,Active,14.8807950001479,0
2102,,Metered,90,2009-04-20T00:00:00.000Z,"1.5 Hours, 9am-5pm, Daily",,,,Active,13.781294501182,0
2103,,Metered,90,2009-04-20T00:00:00.000Z,"1.5 Hours, 9am-5pm, Daily",,,,Active,13.019698498662,0
2104,,Metered,90,2009-04-20T00:00:00.000Z,"1.5 Hours, 9am-5pm, Daily",,,,Active,13.3847100034379,0
2105,,Metered,90,2009-04-20T00:00:00.000Z,"1.5 Hours, 9am-5pm, Daily",,,,Active,13.5886859983185,0
2106,,Unrestricted,,2009-01-14T00:00:00.000Z,,Area O,,,Active,11.8044250020872,0
2107,,Metered,90,2009-04-20T00:00:00.000Z,"1.5 Hours, 9am-5pm, Daily",,,,Active,13.7083919979213,0
2108,,Metered,90,2009-04-20T00:00:00.000Z,"1.5 Hours, 9am-5pm, Daily",,,,Active,13.9612759986576,0
2109,,Metered,90,2009-04-20T00:00:00.000Z,"1.5 Hours, 9am-5pm, Daily",,,,Active,13.1985585012625,0
2110,,Metered,90,2009-04-20T00:00:00.000Z,"1.5 Hours, 9am-5pm, Daily",,,,Active,13.5259399988069,0
2111,,Metered,90,2009-04-20T00:00:00.000Z,"1.5 Hours, 9am-5pm, Daily",,,,Active,13.6279439998815,0
2112,,Metered,90,2009-04-20T00:00:00.000Z,"1.5 Hours, 9am-5pm, Daily",,,,Active,13.025637998231,0
2113,,Metered,90,2009-04-20T00:00:00.000Z,"1.5 Hours, 9am-5pm, Daily",,,,Active,13.2738830017028,0
2114,,Metered,90,2009-04-20T00:00:00.000Z,"1.5 Hours, 9am-5pm, Daily",,,,Active,13.0765035018033,0
2115,,Metered,90,2009-04-20T00:00:00.000Z,"1.5 Hours, 9am-5pm, Daily",,,,Active,13.0637149992588,0
2116,,Metered,90,2009-04-20T00:00:00.000Z,"1.5 Hours, 9am-5pm, Daily",,,,Active,13.2303645006443,0
2117,,Metered,90,2009-04-20T00:00:00.000Z,"1.5 Hours, 9am-5pm, Daily",,,,Active,12.8970304984081,0
2118,,Metered,90,2009-04-20T00:00:00.000Z,"1.5 Hours, 9am-5pm, Daily",,,,Active,12.9503899978638,0
2119,,Metered,90,2009-04-20T00:00:00.000Z,"1.5 Hours, 9am-5pm, Daily",,,,Active,13.2000479980036,0
2120,,Metered,90,2009-04-20T00:00:00.000Z,"1.5 Hours, 9am-5pm, Daily",,,,Active,12.9526575001271,0
2121,,Metered,90,2009-04-20T00:00:00.000Z,"1.5 Hours, 9am-5pm, Daily",,,,Active,12.9292760000532,0
2122,,Metered,90,2009-04-20T00:00:00.000Z,"1.5 Hours, 9am-5pm, Daily",,,,Active,13.2566049996195,0
2123,,Metered,90,2009-04-20T00:00:00.000Z,"1.5 Hours, 9am-5pm, Daily",,,,Active,13.0525395022621,0
2124,,Metered,90,2009-04-20T00:00:00.000Z,"1.5 Hours, 9am-5pm, Daily",,,,Active,12.6090619999756,0
2125,,Unrestricted,,2009-12-08T00:00:00.000Z,,,,200,Active,13.1995719992851,0
2126,,Unrestricted,,2009-01-14T00:00:00.000Z,,Area O,,,Active,14.7463910025738,0
2127,,Unrestricted,,2009-01-14T00:00:00.000Z,,Area O,,,Active,14.7463910021817,0
2128,,Unrestricted,,2009-01-14T00:00:00.000Z,,Area O,,,Active,14.7479009982427,0
2129,,Unrestricted,,2009-01-14T00:00:00.000Z,,Area O,,,Active,14.7481000040533,0
2130,,Unrestricted,,2009-01-14T00:00:00.000Z,,Area O,,,Active,11.8044250006543,0
2131,,Signed,180,2008-04-14T00:00:00.000Z,3P 9:00am-5:00pm Mon-Fri,,,,Active,13.544336503633,0
2132,,Signed,180,2008-04-14T00:00:00.000Z,3P 9:00am-5:00pm Mon-Fri,,,,Active,14.1902880008404,0
2133,,Metered,60,2008-04-21T00:00:00.000Z,,KING001,,,Active,11.7683420006118,0
2134,,Signed,180,2008-04-14T00:00:00.000Z,3P 9:00am-5:00pm Mon-Fri,,,,Active,13.9728269994422,0
2135,,Signed,180,2008-04-14T00:00:00.000Z,3P 9:00am-5:00pm Mon-Fri,,,,Active,12.9003420000153,0
2136,,Signed,180,2008-04-14T00:00:00.000Z,3P 9:00am-5:00pm Mon-Fri,,,,Active,15.6907700011973,0
2137,,Signed,180,2008-04-14T00:00:00.000Z,3P 9:00am-5:00pm Mon-Fri,,,,Active,15.2637314994826,0
2138,,Signed,180,2008-04-14T00:00:00.000Z,3P 9:00am-5:00pm Mon-Fri,,,,Active,15.0507979979915,0
2139,,Signed,180,2008-04-14T00:00:00.000Z,3P 9:00am-5:00pm Mon-Fri,,,,Active,15.4836784988017,0
2140,,Signed,180,2008-04-14T00:00:00.000Z,3P 9:00am-5:00pm Mon-Fri,,,,Active,15.0528899999304,0
2141,,Signed,180,2008-04-14T00:00:00.000Z,3P 9:00am-5:00pm Mon-Fri,,,,Active,14.6167725006649,0
2142,,Signed,180,2008-04-14T00:00:00.000Z,3P 9:00am-5:00pm Mon-Fri,,,,Active,14.6219419991782,0
2143,,Signed,180,2008-04-14T00:00:00.000Z,3P 9:00am-5:00pm Mon-Fri,,,,Active,15.4791650014585,0
2144,186 Charles St,Loading Zone,,,"Loading Zone 7:00am-11:00am Mon-Sat, 1P metered 11am-5:30pm Mon-Fri",,,1044,active,30.9597070014169,0
2145,,Multibay Metered,60,2008-04-21T00:00:00.000Z,,CH24,6,1194,active,12.3604224995862,0
2146,,Multibay Metered,60,2008-04-21T00:00:00.000Z,,CH24,5,1194,active,13.7615279988627,0
2147,,Multibay Metered,60,2008-04-21T00:00:00.000Z,,CH24,4,1194,active,13.2229190023032,0
2148,,Multibay Metered,60,2008-04-21T00:00:00.000Z,,CH24,2,1194,Active,14.8344844990287,0
2149,,Multibay Metered,60,2008-04-21T00:00:00.000Z,,CH24,3,1194,Active,12.4689139987685,0
2150,,Multibay Metered,60,2008-04-21T00:00:00.000Z,,CH24,1,1194,Active,13.7030210014327,0
2151,,Multibay Metered,180,2008-04-08T00:00:00.000Z,,CH01,5,,Active,14.1599239995467,0
2152,,Multibay Metered,180,2008-04-08T00:00:00.000Z,,CH01,6,,Active,15.3724670016274,0
2153,,Multibay Metered,180,2008-04-08T00:00:00.000Z,,CH01,7,,Active,13.9707210012194,0
2154,,Multibay Metered,180,2008-04-14T00:00:00.000Z,3P Meter 9:00am-5.30pm Mon-Fri 9:00am-4:00pm Sat,GE03,3,,Active,14.7887560013626,0
2155,,Multibay Metered,60,2008-04-14T00:00:00.000Z,,CA08,1,,Active,11.8278040005029,0
2156,,Multibay Metered,60,2008-04-14T00:00:00.000Z,,CA08,2,,Active,13.5492915014762,0
2157,,Multibay Metered,60,2008-04-14T00:00:00.000Z,,CA08,3,,Active,13.5500170015953,0
2158,,Multibay Metered,60,2008-04-14T00:00:00.000Z,,CA08,4,,Active,11.3990780002677,0
2159,,Multibay Metered,60,2008-04-14T00:00:00.000Z,,CA01,4,,Active,11.6080750005489,0
2160,,Multibay Metered,60,2008-04-14T00:00:00.000Z,,CA01,5,,Active,13.980368749755,0
2161,,Multibay Metered,60,2008-04-14T00:00:00.000Z,,CA01,6,,Active,11.6080750021736,0
